VIDEO_ID	VIEWS	RATE	RATINGS	COMMENTS
FbCXazRFLWE	413	5	82	22
xFqGSKETtzk	641	3.99	148	6
ziATKrm_4bo	3469	3.85	169	253
vO8Kb_SsSPE	4314	4.87	84	70
7qGcOp1lEIU	697	4.88	83	4
InBcWEdvJbg	662	5	80	19
dyyJUGkAXlI	10388	4.83	130	59
9rydmVBIOAM	8393	4.89	123	24
DoXXQAK-rEo	1860	4.54	97	65
K2KJ8GeVKwk	1513	4.89	73	28
ZRiILwoBjiY	2342	4.8	86	102
Bc7ji037Qg8	8086	4.84	112	70
mEwN7darG5k
8PdOsnBbJuE	3602	2.67	54	345
nR5Vz_4LYDs	3028	1.31	870	212
ai2uIRdfie8	870	4.88	64	172
5cJJgmY3q6w	2889	2.56	163	228
IK74jUEgNoM	19938	4.03	137	196
R083B_q2OVo	5514	3.44	164	172
6RJgSLCQVvc	3019	4.63	99	217
q65w0k-cd70	1194	3.5	82	150
uxgVuB3TyaU	29199	3.35	145	363
23D-qRAdylI	5173	4.14	216	205
uwnyIZJcPPQ	914	4.49	39	109
yX0XNdFcNsU	593	4.97	36	92
myIAuM9xueI	1888	4.58	79	104
Znn7hxDa2QA	2605	3.37	222	127
WgDUNn8q4qo	18892	4.22	18	157
biEh_shLjEM	999	4.65	46	90
Q-7R27gFWFo	2580	4.63	73	103
Vwc3_9zfXi4	25134	4.07	565	396
lfUBH8Mb20s	10962	4.89	79	103
b1t1HV5BBog	4785	4.5	50	74
b92BoktBdpA	514	3.46	24	96
v0J3TGyNUgE	21036	4.52	29	139
JjnsqzbzzsE	193	4.85	26	68
g63n7-AVNmw	26841	3.23	84	124
wR8fQP5H-YM	4746	4.34	160	148
HMxb896-9b0	833	3.81	16	152
YfNjY68HtvI	861	4.32	50	73
9p6ohcJqYXo	1282	4.65	65	62
O1Gc-ZhdFIA	5419	3.9	117	328
kS2t8VeGX2g	2081	4.42	69	82
sYOyWqRdSA8	1010	4.5	84	62
I3ZB3Jlzzu4	1207	4.56	25	67
hJK0g6sRwnA	7731	4.74	50	38
euHe0KVeER8	33	5	1	0
FaLT1pyDuLU	534	5	6	2
7HdLYWPblW8	3149	4.85	27	27
dak3nun9PLs	161	5	1	0
jLT1kiFFPmc	947	4.9	10	4
-a3bO7RlJfQ	772	5	6	1
87tWKdf0zDg	311	4.86	7	1
GqoQ9fny6SE	13845	4.83	72	21
kYaYFYcFUe0	20094	4.86	133	45
1gwsQMnDk7Y	7030	4.81	85	51
5Plzb683xdU	12144	4.77	70	30
TgqYzNVObBg	7375	4.9	60	14
lpHRAiNsLg4	14572	4.86	79	19
sW50O4CF1DU	7707	4.75	64	11
3_QEL5PU4QE	7334	4.9	52	12
O2Pb3jNFZPs	9074	4.89	66	18
98cMLIYtkdU	382	5	1	2
hR5LTNs38oQ	3852	4.1	10	10
ISlAMQurClA	3725	4.36	25	11
MQoTSPCU8T4	679	4	4	3
l8EjlMmhB58	3099	4.22	23	11
4U9RDeYQEng	1699	4.92	13	9
VBl-Lqxe6Mk	562	5	4	1
WBYtZndT-wo	8553	4.43	14	6
FMyQCqC4gVU	1868	4.33	18	17
mwXK3X9i0JI	852	4.43	7	9
pcs71pdls5Q	1208	5	6	6
C3r8SAZPqAY	2101	4.75	16	7
xqjD7KCTGPo	774	5	8	5
OkhpgNjfkxc	1412	4.69	13	6
o9uKMJ3T8Ko	344	5	2	1
z6Mhe2LQfcE	277	5	1	1
gC0MTPKr4Jw	1213	4.88	8	2
Uujhu0pvhPk	222	3.5	2	1
e_ntCyVDe5s	157	3	2	2
NqFJPo-EgyQ	1344	4.67	6	3
CB8OmY-J5Vk	13	0	0	0
pyv4FACvCv4	184	5	5	6
muW85ARPESk	48	0	0	0
fUDl9OdRtw0	1858	3.42	24	10
eVqchSGCQFE	2300	2.14	74	53
3Pw1a9UAKzs	648	4.96	56	26
KwZ2IcmT1Kw	304	5	12	4
ZErejRn_zLI	99	5	4	2
XFzDv-cQifs	3327	4.62	8	8
2k78JV1B2sE
JXH5xq2mYaI	1249	1	1	1
jryiQYN696o	87	5	1	0
yHG0KHNicdw	4772	4.77	30	37
xtcBAyisO2g	1893	4.86	7	3
bNlHj2yDkf8	1402	4.2	5	5
p7db6MztInU	1136	4.6	10	7
YgoR31rAWds	307	4.33	3	0
BW727JXItnE	1071	4.75	8	2
mPEB3DSQXQI	1735	2.14	35	12
5PfGioVBr6g	1524	5	2	3
h4ryCz0RS1Y	3538	5	6	44
68QQ_1VP8ew	5078	0	0	11
-TjmQS5dyyA	3308	4.75	8	4
62dr0XMuEsA
fp_KN3WhKEA	1064	3.14	7	6
ycX0t0w1go0	732	4.88	17	8
WvInyGLrRi0	2297	4.14	14	18
eq7zjcun_rM	973	5	7	3
fx_1aIfhWXA	1109	4.29	7	3
9GKXelqFoMY	403	4.5	6	3
nkirSYiyhfE	635	5	2	4
xMNOt_c_6b4	466	5	1	1
URKeAcygrd0	160	5	12	8
FzbjMqY-_sM	40	0	0	0
Za0r--tZmrU	231	5	2	0
sguQzDnlUns	329	5	18	9
u609D0Jw_-s	166	3.67	3	1
LXURQZ_ZwS4	144	0	0	1
F8AG_mY3BKo	23	0	0	1
X-slMXsE_kM	74	0	0	0
NN_Iy7qN5R4	316	3	11	26
gyPOb7scufA	343	4.33	3	6
xZOJoYnBjGo	37462	4.67	33	3
_jAwD9KBzI4	25765	4.74	19	1
KQTHC366haQ	291	5	1	0
aO10DfQfabs	1283	5	3	4
-N8e5R7eryo	1476	3	14	0
LEAC_PcqxaM	5446	3.58	19	1
vdqHYnjfkRE
TIqgf2X3iHQ	478	2.5	8	0
McEOCJv8qIU	329	4.6	5	0
NYkI_0Dn4Uo	2534	4.54	46	70
eW3qbibh8Mk	974	2	4	6
6aj9Avr3ivc	12424	2.96	72	117
CLUqRbrD-bY	264	4.5	2	9
fvn7nu3qdLE	17780	4.62	68	33
XoNM78SIZfI	19984	4.62	73	28
E1p3iF_JF2g	12948	4.59	66	30
7sODGWdxFO8	1142	5	1	1
ZOcu7EgIYvQ	334	5	2	2
mFXALoegMR8	292	5	2	4
DoyzFb4mThc	18963	4.99	67	62
qbeA1MPMQFE	464	0	0	0
Cko07gaJW8E	189	0	0	0
EWOPLpj0-S8	30	0	0	0
7NxfbQkvdGI	10655	5	8	1
O2QR56UlQic	7352	5	5	1
cLWWJtqLtes	9205	4.67	6	3
dvmGeMerw6o	70	0	0	0
o9XCbAL9Y5k	11397	4.9	42	3
RVSE5BXcf-c	10545	4.7	40	1
DVyK6R5111o	11051	4.77	48	8
BXohMzD1IOE	10055	4.81	42	1
unktCrTrd0I	8767	4.8	41	2
ac5BHHPbRzk	9055	4.89	37	6
Cr-Z44C6CVM	8155	4.65	34	2
aaHdqNGRJl8	15315	4.82	45	2
SCxTjK1OZF0	13048	4.64	39	3
0Vzq8CcAgjk	15053	4.98	43	5
Q32iwBSIqxk	13492	5	25	0
l6ll2nYdsJI	20387	4.83	41	7
4-hM7t8hoUQ	11158	4.67	30	6
baCZQYhxz5g	10831	4.53	45	14
Q6KVSQCCLSw	11894	4.51	43	12
JOcN1CaQkKI	22366	4.63	65	6
u5d91LLqPV4	18763	4.56	64	3
YeDiTypYryQ	18301	4.87	127	62
QBXgiR1f4PU	753	3	2	1
F_nd5YALlfE	3793	0	0	8
WiUCLAZ1lSA	352	0	0	0
48DC7qu5XM0	770	5	1	1
_wv_DXmIzms	757	5	1	0
ld7ulge1A6w	72	0	0	0
E_STkZM5RDU	566	5	2	0
GgkzwYNeXJ0	70578	4.81	118	57
bQ2p3CpOkOo	47333	4.85	123	53
pq_khjqb4a4	12804	4.92	61	31
MJyBKp6Ar80	806	5	2	0
Dn3iN8VS3uE	660	5	3	0
hpUESqrKuPM	1173	5	3	3
niagtcnyK2Q	9716	4.96	129	51
Ne5Us6abFto	609	5	5	3
rPp4yak75nc	578	5	3	3
pQTg0F-Wk_Y	450	5	6	2
sRUuunwhdRA	767	4.56	9	4
2QSWDuJbgNc	681	5	6	3
URrJEIxvp8c	1831	4.58	12	8
CFvHuKAASe8	5771	4.78	9	20
7xwYOFIWlg8	63278	4.62	98	172
FrjCflihb40	8997	4.86	14	39
mejXBpUKeaM	2032	5	2	13
vJcHTfVlKtQ	29	0	0	0
yiG6Nyrlq7w	24	0	0	0
lJJo8Sr1-lU	11	0	0	0
YaEmcrhcXrQ	127	5	1	0
IeVvotoLH04	126	0	0	0
iEd9clJo5Ac	376	0	0	0
VGe6GNwzTLc	106	0	0	1
0G17KMpDgVo	417	5	2	1
Xd_58hWfeus	168	4.67	3	5
yq0hQSYKTf4	396	3.67	3	1
O0jUAMBW2YE	4358	4.85	13	0
xRmCejRFmuE	4582	4.33	12	0
9Vl7sETXZWo	250	0	0	2
MXRdY-oLJGI	9383	4.49	45	0
xxR428SC3qc	7390	4.5	42	0
SCeqZLrhkvQ	8844	2.28	25	80
cCvjy1hRtyM	8321	3.82	17	35
KrWDyB8vfNg	1013	4	4	0
GB3X4iz8jTU	1804	2.67	12	25
MebGHNai8hE	1309	3.46	13	7
07Jg3tXbVxs	1027	1.57	7	20
HfXyriOqb7Y	349	3.67	3	6
5O8jnX1TGZ0	434	0	0	0
jpQb6mytwW4	683	4.4	5	4
6HrOKelPFaM	71	4	4	2
Hg0eEPgSkJs	101	3	2	0
Q4qMzxhJ9po	32	0	0	1
SC-_wpl4ZWw	14907	4.72	65	51
_8HUlnu7ZTw	3617	1	3	8
ZiCHxLS_Ttc	15916	4.86	14	2
mTjel0kwVKU	13874	5	13	4
CUBawk9C5V8	13176	4.75	12	0
xZYXjDGkCJM	11042	5	12	0
OAS3gMR2AbU	10948	4.67	12	2
RcEypsDD_NU	9126	4.83	12	1
L7mY5Y4ci38	2440	4.5	28	84
F_ENquFS8Wg	2899	3.35	31	35
iDwKJZ5rgBQ	1865	4	20	32
9LTl8G8fb8E	763	2.8	5	8
Bi81kmvPt88	434	5	4	2
91fqa29h2hk	8753	4.33	9	22
iMwYmGzDgnw	6112	4.6	10	16
uVAUmF6belA	4237	4.43	14	6
E6xbvrTDn_c	1535	5	4	0
zvRy-_5aH5M	3650	4.86	7	2
OHIQn7DmevM	1070	5	3	0
1u3nIdDC4Nk	831	5	1	0
aD82ukfMvkM	3025	4.83	6	0
HP6rw2UF7Jw	9743	4.26	50	29
JsAuSfAm-Oo
57wRSOKhwaQ	2001	4.46	13	3
0GLCVfXP5jE	2169	4.11	9	8
